key,to,greeting,organization,rec
CNIIE,"Директору
ФБУН Центральный
научно-исследовательский
институт эпидемиологии
Роспотребнадзора
академику РАН
Акимкину В.Г.",Уважаемый Василий Геннадьевич!,,АкимкинуВГ
UENFS,"Начальнику управления
эпидемиологического надзора
Федеральной службы по надзору
в сфере защиты прав потребителей и
благополучия человека
Деминой Ю.В.",Уважаемая Юлия Викторовна!,,ДеминойЮВ
KYA,"Руководителю Управления
Роспотребнадзора
по Красноярскому краю
Горяеву Д.В.",Уважаемый Дмитрий Владимирович!,ФБУЗ «Центр гигиены и эпидемиологии в Красноярском крае»,ГоряевуДВ
ZAB,"Руководителю Управления
Роспотребнадзора
по Забайкальскому краю
Лапе С.Э.",Уважаемая Светлана Эдуардовна!,ФБУЗ «Центр гигиены и эпидемиологии в Забайкальском крае»,ЛапеСЭ
IRK,"Руководителю Управления
Роспотребнадзора
по Иркутской области
Савиных Д.Ф.",Уважаемый Дмитрий Федорович!,ФБУЗ «Центр гигиены и эпидемиологии в Иркутской области»,СавиныхДФ
BU,"Руководителю Управления
Роспотребнадзора
по Республике Бурятия
Ханхарееву С.С.",Уважаемый Сергей Степанович!,ФБУЗ «Центр гигиены и эпидемиологии в Республике Бурятия»,ХанхареевуСС
TY,"Руководителю Управления
Роспотребнадзора
по Республике Тыва
Салчак Л.К.",Уважаемая Людмила Кимовна!,ФБУЗ «Центр гигиены и эпидемиологии в Республике Тыва»,СалчакЛК
KK,"Руководителю Управления
Роспотребнадзора
по Республике Хакасия
Романовой Т.Г.",Уважаемая Татьяна Геннадьевна!,ФБУЗ «Центр гигиены и эпидемиологии в Республике Хакасия»,РомановойТГ
ALT,"Руководителю Управления
Роспотребнадзора
по Алтайскому краю
Пащенко И.Г.",Уважаемая Ирина Геннадьевна!,ФБУЗ «Центр гигиены и эпидемиологии в Алтайском крае»,ПащенкоИГ
AL,"Руководителю Управления
Роспотребнадзора
по Республике Алтай
Щучинову Л.В.",Уважаемый Леонид Васильевич!,ФБУЗ «Центр гигиены и эпидемиологии в Республике Алтай»,ЩучиновуЛВ
